"coeff_name","estimate","std"
"tau.s(ID).1",-0.171395183051626,0.261289529668874
"tau.s(ID).2",0.152640406676016,0.207280856072815
"tau.s(ID).3",0.0590663784600379,0.127416929940691
"tau.s(ID).4",-0.0994726657385985,0.167735906325124
"tau.s(ID).5",0.0658706689792867,0.190303916733973
"tau.s(ID).6",-0.00450309373583232,0.13124494592921
"nu.s(ID).1",0.0678564972575524,0.126946708217667
"nu.s(ID).2",-0.0350737515073375,0.0888383866973219
"nu.s(ID).3",0.0157346922770017,0.0569987538462869
"nu.s(ID).4",0.0211008673143656,0.0728198170265399
"nu.s(ID).5",-0.051863125390206,0.1004341898689
"nu.s(ID).6",-0.0223663486690117,0.0631120211585975
"tau.(Intercept)",0.526712079995259,0.180202955448371
"nu.(Intercept)",1.49321615989839,0.0849851551841285
"a.(Intercept)",0.693147180559945,NA
"b.(Intercept)",1.38629436111989,NA
"D0.(Intercept)",-0.693147180559945,NA
"D1.(Intercept)",0,NA
"sigma_D.(Intercept)",-1.20397280432594,NA
"sigma_theta.(Intercept)",-0.647029583378655,NA
"tau.s(ID)",3.68460379743131,1.57198932010609
"nu.s(ID)",5.42321723986567,2.05076072863623
"log_sigma_obs",0,NA
