"coeff_name","estimate","std"
"tau.s(ID).1",-0.304604642860176,NA
"tau.s(ID).2",-0.530913115397065,NA
"tau.s(ID).3",-0.252421244197658,NA
"tau.s(ID).4",-0.349468128841601,NA
"tau.s(ID).5",-0.19862314548945,NA
"tau.s(ID).6",-0.253816515847625,NA
"nu.s(ID).1",1.47009708918943,NA
"nu.s(ID).2",1.13369566899028,NA
"nu.s(ID).3",1.05819378895452,NA
"nu.s(ID).4",1.24885672832777,NA
"nu.s(ID).5",1.00629945176081,NA
"nu.s(ID).6",1.20878610345628,NA
"tau.(Intercept)",0,NA
"nu.(Intercept)",0,NA
"a.(Intercept)",0.693147180559945,NA
"b.(Intercept)",1.38629436111989,NA
"D0.(Intercept)",-0.693147180559945,NA
"D1.(Intercept)",0,NA
"sigma_D.(Intercept)",-1.20397280432594,NA
"sigma_theta.(Intercept)",-0.647029583378655,NA
"tau.s(ID)",1.38629436111989,NA
"nu.s(ID)",1.38629436111989,NA
"log_sigma_obs",0,NA
