"coeff_name","estimate","std"
"tau.s(ID).1",-0.000216079759778176,NA
"tau.s(ID).2",0.000186400857744816,NA
"tau.s(ID).3",5.57090713348009e-05,0.0050290067240335
"tau.s(ID).4",-0.000241133938955024,NA
"tau.s(ID).5",6.64306771259115e-05,0.0048640353026677
"tau.s(ID).6",0.000151703272655113,0.000714269954421874
"nu.s(ID).1",0.139823146437335,0.0533520311792841
"nu.s(ID).2",-0.0839386634288158,0.0541981237117981
"nu.s(ID).3",-0.0546759978550339,0.0536424171675243
"nu.s(ID).4",0.132899259521227,0.0535931316016469
"nu.s(ID).5",-0.0663488746946037,0.0535639590278814
"nu.s(ID).6",-0.070960292164699,0.0538442715078589
"tau.(Intercept)",0.760237128656771,0.184787161837189
"nu.(Intercept)",1.61845159032102,0.100077799656796
"a.(Intercept)",0.693147180559945,NA
"b.(Intercept)",1.38629436111989,NA
"D0.(Intercept)",-0.693147180559945,NA
"D1.(Intercept)",0,NA
"sigma_D.(Intercept)",-1.20397280432594,NA
"sigma_theta.(Intercept)",-0.647029583378655,NA
"tau.s(ID)",10.4422251558989,NA
"nu.s(ID)",4.53704114074146,0.650586285085436
"log_sigma_obs",0,NA
