"coeff_names","mean","sd","low","up"
"tau.(Intercept)",1.4,0.241,0.994,1.916
"nu.(Intercept)",4.06,0.334,3.482,4.661
"tau.s(ID)",0.144,0.104,0.007,0.333
"nu.s(ID)",0.073,0.048,0.007,0.144
"log_sigma_obs",1000,0,1000,1000
