"coeff_names","mean","sd","low","up"
"tau.(Intercept)",1.417,0.224,1.049,1.865
"nu.(Intercept)",4.085,0.31,3.544,4.631
"tau.s(ID)",0.149,0.099,0.007,0.298
"nu.s(ID)",0.075,0.043,0.004,0.14
"log_sigma_obs",1000,0,1000,1000
