"coeff_names","mean","sd","low","up"
"tau.(Intercept)",0.947,0.153,0.585,1.002
"nu.(Intercept)",1.4,1.359,1,4.69
"tau.s(ID)",0.54,0.216,0.492,0.82
"nu.s(ID)",0.517,0.075,0.459,0.724
"log_sigma_obs",1000,0,1000,1000
