"coeff_name","estimate","true"
"tau.s(ID).1",-0.211297973465579,-0.0365513412663843
"tau.s(ID).2",-0.0488760146366391,0.186669265714232
"tau.s(ID).3",0.154606543270584,0.16435462210165
"tau.s(ID).4",0.311173154426545,0.278423275186854
"tau.s(ID).5",-0.0977248941337361,-0.0952347846109348
"tau.s(ID).6",-0.151039505047394,0.130069712145261
"tau.s(ID).7",0.347907231107434,0.278222091278
"tau.s(ID).8",-0.122840918778961,-0.22215777588958
"tau.s(ID).9",0.0348476461364941,-0.172158517375568
"tau.s(ID).10",-0.0487867427346262,-0.226347736170754
"tau.s(ID).11",-0.161443100714183,-0.291842799900479
"tau.s(ID).12",-0.0876945094353769,0.0159965106482322
"nu.s(ID).1",0.027938820692455,0.065320433964919
"nu.s(ID).2",0.0693076677384317,0.120096537559849
"nu.s(ID).3",0.0641541757587857,0.104475108716773
"nu.s(ID).4",-0.157906345290137,-0.100320864683985
"nu.s(ID).5",0.136284611445569,0.184848190167275
"nu.s(ID).6",-0.0273240970149155,-0.0666773408757817
"nu.s(ID).7",-0.0587962775930562,0.0105513812456069
"nu.s(ID).8",0.0336718564321546,-0.0422255881868856
"nu.s(ID).9",0.00925924302550658,-0.0122350171954971
"nu.s(ID).10",-0.0193898360347154,0.0188193034501498
"nu.s(ID).11",-0.0233355240210537,0.0119160957997006
"nu.s(ID).12",-0.0842732719188358,-0.00250925508674029
"omega.te(theta,DistanceShore).1",7.96017040295954,8.87767912041967
"omega.te(theta,DistanceShore).2",-0.527314660397233,-2.54080111574416
"omega.te(theta,DistanceShore).3",7.40225595972106,6.71755671604126
"omega.te(theta,DistanceShore).4",23.3036709501422,22.5098429822846
"omega.te(theta,DistanceShore).5",2.1461722840741,6.74010671566004
"omega.te(theta,DistanceShore).6",23.2397165686545,30.8715562447871
"omega.te(theta,DistanceShore).7",6.91756691374123,4.78014656278373
"omega.te(theta,DistanceShore).8",3.08323829299537,6.61689671874146
"mu1.(Intercept)",0,0
"mu2.(Intercept)",0,0
"tau.(Intercept)",0.0720304575494716,0.405465108108164
"nu.(Intercept)",1.39207045248869,1.38629436111989
"omega.(Intercept)",-0.0851027747519772,0.022704725047997
"tau.s(ID)",0.206008759045027,0.2
"nu.s(ID)",0.0887484051237033,0.1
"omega.te(theta,DistanceShore)",40.6051699731029,0.657045101037427
"omega.te(theta,DistanceShore)",77.1938167110249,299.11706904497
