"coeff_name","estimate","true"
"tau.s(ID).1",0.00032732894661713,-0.0608926375407211
"tau.s(ID).2",-0.00017748608169304,0.050495512329797
"tau.s(ID).3",-0.00111595453226067,-0.171700867907334
"tau.s(ID).4",-0.00226265312117444,-0.0784459008379496
"tau.s(ID).5",0.00011769990131601,-0.0850907594176518
"tau.s(ID).6",0.00336198128679697,-0.241420764994663
"nu.s(ID).1",0.00490212489706558,0.00361226068922556
"nu.s(ID).2",-0.0107019856155562,0.0205998600200254
"nu.s(ID).3",0.0118397934598439,-0.0361057298548666
"nu.s(ID).4",0.082434506214771,0.0758163235699517
"nu.s(ID).5",-0.021481956728775,-0.0726704827076575
"nu.s(ID).6",-0.0729342047076198,-0.136828104441929
"omega.te(theta,DistanceShore).1",10.483187630238,11.0419912686111
"omega.te(theta,DistanceShore).2",-3.57874608698068,-3.37195450076871
"omega.te(theta,DistanceShore).3",5.58589837350516,7.64081814279128
"omega.te(theta,DistanceShore).4",24.5778010637865,23.2386579393694
"omega.te(theta,DistanceShore).5",1.16566664122081,7.3666203124177
"omega.te(theta,DistanceShore).6",36.532443159801,41.1004035171527
"omega.te(theta,DistanceShore).7",1.4563498602552,2.02235619274893
"omega.te(theta,DistanceShore).8",6.4430834050271,10.392946917075
"mu1.(Intercept)",0,0
"mu2.(Intercept)",0,0
"tau.(Intercept)",-0.251311360191356,0
"nu.(Intercept)",1.30994728834184,1.38629436111989
"omega.(Intercept)",-0.0369770435182242,0.0590908206142158
"tau.s(ID)",0.0154261493157509,0.1
"nu.s(ID)",0.0534403510340824,0.1
"omega.te(theta,DistanceShore)",15.2129341478863,NA
"omega.te(theta,DistanceShore)",37.2898813787949,NA
