"coeff_names","mean","sd","low","up"
"tau.(Intercept)",1.048,0.08,0.861,1.186
"nu.(Intercept)",4.054,0.133,3.807,4.276
"tau.s(ID)",0.186,0.118,0,0.366
"nu.s(ID)",0.093,0.036,0.024,0.149
"sigma_obs",1000,0,1000,1000
