"coeff_names","mean","sd","low","up"
"tau.(Intercept)",1.308,0.167,1.045,1.649
"nu.(Intercept)",4.062,0.226,3.757,4.503
"tau.s(ID)",0.144,0.111,0.004,0.336
"nu.s(ID)",0.078,0.04,0.006,0.154
"sigma_obs",1000,0,1000,1000
