"coeff_name","estimate","std"
"tau.s(ID).1",-0.0544834529903892,0.124100409267494
"tau.s(ID).2",-0.266575138728512,0.13662102550438
"tau.s(ID).3",-0.241376972607255,0.175903811525289
"tau.s(ID).4",0.116612618546979,0.125219537518336
"tau.s(ID).5",0.25191763831682,0.167128943836018
"tau.s(ID).6",0.0853635135995597,0.128347298118355
"tau.s(ID).7",-0.0629190072130095,0.123754058330884
"tau.s(ID).8",0.236593024478481,0.159418117960223
"tau.s(ID).9",0.210944768111438,0.128386415248631
"tau.s(ID).10",0.142168005787105,0.13372487653133
"tau.s(ID).11",-0.212079718575523,0.133403422454972
"tau.s(ID).12",-0.124517248572829,0.128688068725542
"nu.s(ID).1",0.00323477032360129,0.0390940254352755
"nu.s(ID).2",0.00533666491521641,0.0416287605949158
"nu.s(ID).3",0.0499269410618945,0.0836067948027603
"nu.s(ID).4",0.00466278744907666,0.0388953678087569
"nu.s(ID).5",-0.0290749505231363,0.0653717274021248
"nu.s(ID).6",-0.00982027432405615,0.0422985862082104
"nu.s(ID).7",-0.00332208102959998,0.039050036820028
"nu.s(ID).8",-0.025231141401304,0.0598564271056127
"nu.s(ID).9",-0.00418370451258221,0.0397419549725473
"nu.s(ID).10",-0.0117187826608947,0.0439924738677632
"nu.s(ID).11",0.000260590240193845,0.0396455555083834
"nu.s(ID).12",0.00892732454961881,0.041863934464584
"omega.te(theta,Ishore).1",-4.07602028328048,0.778941394030419
"omega.te(theta,Ishore).2",-9.21727583508776,1.07762716698597
"omega.te(theta,Ishore).3",-15.5513963974274,1.51891031818509
"omega.te(theta,Ishore).4",-211.891930053552,100.220989691426
"omega.te(theta,Ishore).5",-0.611217440650676,0.633608402313003
"omega.te(theta,Ishore).6",0.11095139446664,0.351146696347523
"omega.te(theta,Ishore).7",0.405735593098573,0.226214896020612
"omega.te(theta,Ishore).8",-1.1517500115291,0.485649094582457
"omega.te(theta,Ishore).9",-11.6931358998638,8.53717574877805
"omega.te(theta,Ishore).10",-0.612145932271061,0.770704665887516
"omega.te(theta,Ishore).11",1.06049809088534,0.378961225972716
"omega.te(theta,Ishore).12",1.43601362661462,0.438626819399025
"omega.te(theta,Ishore).13",0.230466835233366,0.4748271730622
"omega.te(theta,Ishore).14",-4.65168986159009,10.4419306919418
"omega.te(theta,Ishore).15",0.79765482329282,0.491236208378329
"omega.te(theta,Ishore).16",-1.97561002251008,0.361060601833957
"omega.te(theta,Ishore).17",-0.228977976900573,0.22081779219371
"omega.te(theta,Ishore).18",-1.03108265536199,0.548083227914396
"omega.te(theta,Ishore).19",8.9050089337452,4.01509773444212
"omega.te(theta,Ishore).20",-2.50183553995376,1.07578952999417
"omega.te(theta,Ishore).21",5.74150486989686,0.607744226506411
"omega.te(theta,Ishore).22",11.4189399960481,0.864813231531598
"omega.te(theta,Ishore).23",14.6517905602293,1.14609246974663
"omega.te(theta,Ishore).24",122.822405000712,23.2023185502737
"mu1.(Intercept)",0,NA
"mu2.(Intercept)",0,NA
"tau.(Intercept)",0.293909666815733,0.0984326925315852
"nu.(Intercept)",1.4473624441934,0.0372558675906536
"omega.(Intercept)",0.0297030966163775,0.0579494177478303
"tau.s(ID)",3.07563555762469,0.626834375834868
"nu.s(ID)",6.30296218343813,1.97161648481015
"omega.te(theta,Ishore)",-14.8581727565638,NA
"omega.te(theta,Ishore)",-5.40880226045919,NA
"log_sigma_obs",0,NA
"a",2,NA
"b",1.93247185629726,NA
"D0",0.16495808923611,NA
"D1",0.00674899637143606,NA
"sigma_D",1.48625302336541,NA
"sigma_theta",0.579844361600827,NA
