"coeff_names","mean","sd","low","up"
"tau.(Intercept)",1.271,0.095,1.1,1.436
"nu.(Intercept)",4.047,0.135,3.815,4.306
"tau.s(ID)",0.156,0.096,0.001,0.28
"nu.s(ID)",0.07,0.031,0.018,0.133
"sigma_obs",1000,0,1000,1000
