"coeff_name","estimate","std"
"tau.s(ID).1",0.172207295008278,0.194049742910756
"tau.s(ID).2",0.0817651191993471,0.223947838489606
"tau.s(ID).3",-0.549201209215291,0.204294412085363
"tau.s(ID).4",0.169119837457823,0.231418160514319
"tau.s(ID).5",0.208357951614306,0.206759765184697
"tau.s(ID).6",-0.455357959271711,0.198171827133798
"tau.s(ID).7",0.0198277084377451,0.189506709712592
"tau.s(ID).8",-0.421352867555691,0.199263481484501
"tau.s(ID).9",-0.173360204197702,0.198866691163069
"tau.s(ID).10",0.398163206398438,0.207333845970238
"tau.s(ID).11",0.415533595441462,0.211072178034742
"tau.s(ID).12",0.00208318309004107,0.199768762235307
"nu.s(ID).1",0.0351609366738597,0.0855775871880517
"nu.s(ID).2",-0.170175495635768,0.100129496700154
"nu.s(ID).3",-0.0214993824694197,0.0857385631103269
"nu.s(ID).4",-0.193172410952983,0.104055546493794
"nu.s(ID).5",-0.0755101627116129,0.0914394743136974
"nu.s(ID).6",0.255597340143016,0.0872926917577173
"nu.s(ID).7",0.122934715252966,0.0847368457323978
"nu.s(ID).8",0.11598969296054,0.0858087111087393
"nu.s(ID).9",-0.0167492196077127,0.0862885307742832
"nu.s(ID).10",-0.0530132502921401,0.0911876920019568
"nu.s(ID).11",-0.0839525069274524,0.0937851109360231
"nu.s(ID).12",-0.0347772173551618,0.0876923710553949
"omega.te(theta,Ishore).1",-4.27425189322609,0.726328265815066
"omega.te(theta,Ishore).2",-8.12534119994998,1.13757344140067
"omega.te(theta,Ishore).3",-14.5531893868546,1.59250068690835
"omega.te(theta,Ishore).4",117.107202983355,49.9467013105681
"omega.te(theta,Ishore).5",-0.531860771015895,0.42111053242299
"omega.te(theta,Ishore).6",0.0750469720761316,0.313940683834906
"omega.te(theta,Ishore).7",0.0851430026439718,0.22868889328038
"omega.te(theta,Ishore).8",-1.43962628549649,0.463427316569907
"omega.te(theta,Ishore).9",5.32817091703157,3.82957841814762
"omega.te(theta,Ishore).10",-0.875966045708656,0.436516554187811
"omega.te(theta,Ishore).11",1.64978686624543,0.343324340659477
"omega.te(theta,Ishore).12",2.62282335962353,0.419329943124099
"omega.te(theta,Ishore).13",1.91389020926331,0.445932920292794
"omega.te(theta,Ishore).14",0.805788949079269,2.32911100129402
"omega.te(theta,Ishore).15",1.42016847077735,0.58075064094869
"omega.te(theta,Ishore).16",-1.94622877356396,0.357077465706358
"omega.te(theta,Ishore).17",-0.838807187508963,0.245115017430748
"omega.te(theta,Ishore).18",-0.892513240504484,0.45740618214557
"omega.te(theta,Ishore).19",-6.48961848921352,4.42693107556452
"omega.te(theta,Ishore).20",-1.64950914379458,1.02793469143724
"omega.te(theta,Ishore).21",7.03489806600421,0.667750467315781
"omega.te(theta,Ishore).22",13.9999370378946,0.963884994402789
"omega.te(theta,Ishore).23",16.7184945360203,1.18708132543815
"omega.te(theta,Ishore).24",70.6617296871214,68.4348785415866
"mu1.(Intercept)",0,NA
"mu2.(Intercept)",0,NA
"tau.(Intercept)",0.0790213357520655,0.125070819475447
"nu.(Intercept)",1.43904915114497,0.0529663517959912
"omega.(Intercept)",0.0784038663881554,0.0642186505341447
"tau.s(ID)",2.07295225196047,0.552046813385882
"nu.s(ID)",3.87321519341126,0.578902203684132
"omega.te(theta,Ishore)",-14.8581727565638,NA
"omega.te(theta,Ishore)",-5.40880226045919,NA
"log_sigma_obs",0,NA
"a",2,NA
"b",1.68804941346449,NA
"D0",0.0604611775512109,NA
"D1",0.684125143784306,NA
"sigma_D",0.911368751026435,NA
"sigma_theta",0.47617691698818,NA
