"coeff_names","mean","sd","low","up"
"tau.(Intercept)",1.146,0.092,0.944,1.285
"nu.(Intercept)",4.027,0.142,3.788,4.3
"tau.s(ID)",0.145,0.107,0,0.317
"nu.s(ID)",0.082,0.034,0.014,0.137
"sigma_obs",1000,0,1000,1000
