"Dshore","theta","omega"
1.31818549014809,-3.13745526055502,-3.52597925281394
1.21912138315054,-3.13745526055502,-3.00362944368838
1.13390620906501,-3.13745526055502,-2.48630576590739
1.05982562421435,-3.13745526055502,-1.97903435081554
0.994831120568314,-3.13745526055502,-1.48684132975739
0.937347658731657,-3.13745526055502,-1.01475283407752
0.886144350073481,-3.13745526055502,-0.567794995120498
0.840245328000482,-3.13745526055502,-0.15099394423089
0.798866954408477,-3.13745526055502,0.230624187246735
0.761372709153827,-3.13745526055502,0.572033267967808
0.727240213410709,-3.13745526055502,0.868207166587756
0.696036742540043,-3.13745526055502,1.11411975176202
0.667400783574493,-3.13745526055502,1.30474489214601
0.641027965318323,-3.13745526055502,1.43505645639518
0.616660197530887,-3.13745526055502,1.50052956833906
0.594077196544317,-3.13745526055502,1.50314639989665
0.573089807164541,-3.13745526055502,1.44943440559327
0.553534691803002,-3.13745526055502,1.34601403949072
0.535270071043772,-3.13745526055502,1.1995057556508
0.518172280548762,-3.13745526055502,1.01653000813531
0.502132967420616,-3.13745526055502,0.803707251006055
0.487056791628566,-3.13745526055502,0.567657938324826
0.472859529442339,-3.13745526055502,0.315002524153425
0.45946649917025,-3.13745526055502,0.0523614625536533
0.446811247060088,-3.13745526055502,-0.213644792412691
0.434834444547036,-3.13745526055502,-0.476395786683806
0.423482958227683,-3.13745526055502,-0.729271066197895
0.412709061799648,-3.13745526055502,-0.965650176893155
0.402469765311707,-3.13745526055502,-1.17891266470779
0.392726241844341,-3.13745526055502,-1.36243807558
0.383443335499923,-3.13745526055502,-1.50960595544798
0.374589137559717,-3.13745526055502,-1.61379585024993
0.366134620037977,-3.13745526055502,-1.66863078960319
0.358053317765086,-3.13745526055502,-1.6726152650804
0.350321051663731,-3.13745526055502,-1.62876650223796
0.34291568712274,-3.13745526055502,-1.5402713220792
0.335816922382606,-3.13745526055502,-1.41031654560745
0.329006102671985,-3.13745526055502,-1.24208899382603
0.322466056511966,-3.13745526055502,-1.03876442057994
0.316180951163659,-3.13745526055502,-0.803368561206799
0.310136164657214,-3.13745526055502,-0.538819149276744
0.30431817222484,-3.13745526055502,-0.248031540045463
0.2987144452812,-3.13745526055502,0.0660789112313502
0.293313361363065,-3.13745526055502,0.400596849298002
0.288104123665789,-3.13745526055502,0.752606918898805
0.283076689004345,-3.13745526055502,1.11919376477806
0.278221703187503,-3.13745526055502,1.49744203168009
0.273530442930181,-3.13745526055502,1.88443636434919
