"coeff_name","estimate","std"
"tau.s(ID).1",2.31700921456031e-05,0.00356553704416372
"tau.s(ID).2",-1.12571303309786e-05,0.00344035219167223
"tau.s(ID).3",-5.46396385408574e-05,0.00423761909163328
"tau.s(ID).4",-3.1896760665766e-05,0.00370723271884724
"tau.s(ID).5",8.72653195062594e-05,0.00527887985410501
"tau.s(ID).6",-3.44874289067587e-06,0.00340451272173089
"nu.s(ID).1",-0.0128980783715402,0.0667505158002122
"nu.s(ID).2",0.123080595700968,0.0668183406543017
"nu.s(ID).3",0.085138690245553,0.0667889847332087
"nu.s(ID).4",0.172609434144063,0.0667349156573439
"nu.s(ID).5",-0.262443184632053,0.0676374344860121
"nu.s(ID).6",-0.121196589045832,0.0671868257996194
"omega.te(theta,Ishore).1",-5.42952389405469,0.729487914724295
"omega.te(theta,Ishore).2",-11.9460241597927,0.95021046084824
"omega.te(theta,Ishore).3",-22.6213925735813,1.37984474127561
"omega.te(theta,Ishore).4",-146.154842679783,45.8944022308996
"omega.te(theta,Ishore).5",-0.989926677815409,0.98875451654522
"omega.te(theta,Ishore).6",0.54952616096173,0.489468987245218
"omega.te(theta,Ishore).7",1.29347646478438,0.238709532187967
"omega.te(theta,Ishore).8",-0.691895338544911,0.576578611340588
"omega.te(theta,Ishore).9",-11.5459742818469,5.49895588294544
"omega.te(theta,Ishore).10",0.096088911553361,0.382474408671968
"omega.te(theta,Ishore).11",-2.4722641348048,0.397027807682109
"omega.te(theta,Ishore).12",-2.25017708782672,0.405027141282604
"omega.te(theta,Ishore).13",-3.1755793760056,0.475603098761101
"omega.te(theta,Ishore).14",-18.2673485128693,12.4677840047866
"omega.te(theta,Ishore).15",0.0140028842407707,0.420775625454471
"omega.te(theta,Ishore).16",-1.91514333185673,0.510361655148585
"omega.te(theta,Ishore).17",0.584763222904932,0.5030523654118
"omega.te(theta,Ishore).18",-2.23469461118235,0.80477283783878
"omega.te(theta,Ishore).19",29.4707342857503,7.22201552203435
"omega.te(theta,Ishore).20",-1.75000242457351,1.0696156424334
"omega.te(theta,Ishore).21",3.62107133114122,0.845601794896048
"omega.te(theta,Ishore).22",10.8711802322072,1.14456149067879
"omega.te(theta,Ishore).23",30.8689758700461,1.46096025292585
"omega.te(theta,Ishore).24",340.306403392172,57.4206465469693
"mu1.(Intercept)",0,NA
"mu2.(Intercept)",0,NA
"tau.(Intercept)",0.141500656248836,0.0928376041691329
"nu.(Intercept)",1.39460195717126,0.0768609298420522
"omega.(Intercept)",0.0381566468272497,0.0828448236071502
"tau.s(ID)",11.3672961679212,46.2811088735743
"nu.s(ID)",3.75989711807321,0.596355245818821
"omega.te(theta,Ishore)",-14.8581727565638,NA
"omega.te(theta,Ishore)",-5.40880226045919,NA
"log_sigma_obs",0,NA
"a",2,NA
"b",0.948401827256302,NA
"D0",0.67443531777977,NA
"D1",0.598366897514675,NA
"sigma_D",3.80162880620488,NA
"sigma_theta",1.94348278212861,NA
