"coeff_name","estimate","true"
"tau.s(ID).1",0.0173175886225866,0.151152199743894
"tau.s(ID).2",-0.0075579840248414,-0.00946590384130976
"tau.s(ID).3",-0.00411520661280884,0.201842371387704
"tau.s(ID).4",-0.0242074387895861,-0.0062714099052421
"tau.s(ID).5",0.00698096966488473,0.130486965422349
"tau.s(ID).6",0.0119991104561816,0.228664539270111
"nu.s(ID).1",-0.0776794006945717,-0.138886070111234
"nu.s(ID).2",0.0776779354040198,-0.0278788766817371
"nu.s(ID).3",-0.0228920508322801,-0.0133321336393658
"nu.s(ID).4",0.146379164543071,0.0635950398070074
"nu.s(ID).5",0.0336160793280594,-0.0284252921416072
"nu.s(ID).6",-0.162431921843649,-0.265645542090478
"omega.te(theta,DistanceShore).1",9.36216035111798,8.91382669999383
"omega.te(theta,DistanceShore).2",-2.84791158021818,-3.38732082215292
"omega.te(theta,DistanceShore).3",3.99059727782468,5.7438804214444
"omega.te(theta,DistanceShore).4",17.2645008467296,19.0751729193857
"omega.te(theta,DistanceShore).5",0.338761527557337,5.71863733447261
"omega.te(theta,DistanceShore).6",26.8250423783396,25.7784695902776
"omega.te(theta,DistanceShore).7",1.98893891867235,2.69159296572897
"omega.te(theta,DistanceShore).8",6.37377742275472,6.84431304076415
"mu1.(Intercept)",0,0
"mu2.(Intercept)",0,0
"tau.(Intercept)",0.122237142880837,0
"nu.(Intercept)",1.33853401001061,1.38629436111989
"omega.(Intercept)",-0.523179589043947,0.00692786275113791
"tau.s(ID)",0.0517614529666995,0.1
"nu.s(ID)",0.106192641061597,0.1
"omega.te(theta,DistanceShore)",4.0827682123801,NA
"omega.te(theta,DistanceShore)",9.83049022955898,NA
