"coeff_name","estimate","true"
"tau.s(ID).1",0.244367301231567,0.151152199743894
"tau.s(ID).2",-0.144975623089521,-0.00946590384130976
"tau.s(ID).3",-0.0150124925466953,0.201842371387704
"tau.s(ID).4",-0.43991772276167,-0.0062714099052421
"tau.s(ID).5",-0.0347945175113296,0.130486965422349
"tau.s(ID).6",0.415327598341438,0.228664539270111
"nu.s(ID).1",-7.12603786031615e-05,-0.138886070111234
"nu.s(ID).2",-0.000429659356834044,-0.0278788766817371
"nu.s(ID).3",0.000430562483000094,-0.0133321336393658
"nu.s(ID).4",0.000869388981023356,0.0635950398070074
"nu.s(ID).5",0.000160428164430979,-0.0284252921416072
"nu.s(ID).6",-0.00102690784134703,-0.265645542090478
"omega.te(theta,DistanceShore).1",6.97707200280581,7.41949737038641
"omega.te(theta,DistanceShore).2",-4.36724237864874,-2.78407592129446
"omega.te(theta,DistanceShore).3",4.35958454495502,4.05176660684324
"omega.te(theta,DistanceShore).4",15.2724041966414,14.342095285798
"omega.te(theta,DistanceShore).5",-2.2788769850377,4.30582187990581
"omega.te(theta,DistanceShore).6",29.5244567508551,34.3832246334754
"omega.te(theta,DistanceShore).7",0.705660764130737,-0.856251990403953
"omega.te(theta,DistanceShore).8",1.97166978245344,8.81815901664472
"mu1.(Intercept)",0,0
"mu2.(Intercept)",0,0
"tau.(Intercept)",0.358430214205799,0
"nu.(Intercept)",1.42776783981185,1.38629436111989
"omega.(Intercept)",0.0294261632868202,0.20183270386863
"tau.s(ID)",0.279150977655717,0.1
"nu.s(ID)",0.00972096636456167,0.1
"omega.te(theta,DistanceShore)",4.27431178639594,NA
"omega.te(theta,DistanceShore)",9.4693365887461,NA
