"coeff_name","estimate","true"
"tau.s(ID).1",0.136202743524365,0.302304399487788
"tau.s(ID).2",-0.258449320217961,-0.0189318076826195
"tau.s(ID).3",0.108056108323991,0.403684742775408
"tau.s(ID).4",-0.181590255249835,-0.0125428198104842
"tau.s(ID).5",-0.041753044915393,0.260973930844697
"tau.s(ID).6",0.185801583217339,0.457329078540221
"nu.s(ID).1",0.0131105408215988,-0.138886070111234
"nu.s(ID).2",0.0835020580432624,-0.0278788766817371
"nu.s(ID).3",-0.0427566344199155,-0.0133321336393658
"nu.s(ID).4",0.147230414238699,0.0635950398070074
"nu.s(ID).5",0.0114350310649384,-0.0284252921416072
"nu.s(ID).6",-0.240387089884921,-0.265645542090478
"omega.te(theta,DistanceShore).1",0.461344208604588,4.3608194184872
"omega.te(theta,DistanceShore).2",-0.781935754044288,-1.51059789648607
"omega.te(theta,DistanceShore).3",1.6951472100369,3.39458286737733
"omega.te(theta,DistanceShore).4",0.652489717668575,8.73648612122055
"omega.te(theta,DistanceShore).5",2.53194448508325,2.77622315541224
"omega.te(theta,DistanceShore).6",5.78685054822293,1.91893905150505
"omega.te(theta,DistanceShore).7",2.63757534071811,8.89292226621305
"omega.te(theta,DistanceShore).8",1.74597021234856,2.53067239014758
"omega.te(theta,DistanceShore).9",9.12907085197989,16.3903999510296
"omega.te(theta,DistanceShore).10",0.330718153597927,2.16959043374344
"omega.te(theta,DistanceShore).11",1.54243042143048,3.43355096777328
"mu1.(Intercept)",0,0
"mu2.(Intercept)",0,0
"tau.(Intercept)",0.718665926150852,0.405465108108164
"nu.(Intercept)",1.37545199298474,1.38629436111989
"omega.(Intercept)",0.205475563508158,0.00722172735828676
"tau.s(ID)",0.209973374486208,0.2
"nu.s(ID)",0.136640560675753,0.1
"omega.te(theta,DistanceShore)",6.67332890196444,614.784325914697
"omega.te(theta,DistanceShore)",11.6463906358251,9.51752415183953
