"coeff_names","mean","sd","low","up"
"tau.(Intercept)",1.026,0.146,0.793,1.388
"nu.(Intercept)",3.918,0.301,3.419,4.571
"tau.s(ID)",0.206,0.162,0.005,0.491
"nu.s(ID)",0.105,0.062,0.007,0.214
"sigma_obs",1000,0,1000,1000
