"coeff_names","mean","sd","low","up"
"tau.(Intercept)",1.033,0.169,0.791,1.392
"nu.(Intercept)",3.94,0.339,3.413,4.599
"tau.s(ID)",0.214,0.161,0.002,0.483
"nu.s(ID)",0.102,0.06,0.006,0.21
"sigma_obs",1000,0,1000,1000
