"coeff_names","mean","sd","low","up"
"tau.(Intercept)",335.898,0,335.898,335.898
"nu.(Intercept)",69.043,0,69.043,69.043
"tau.s(ID)",0.037,0,0.037,0.037
"nu.s(ID)",0.039,0,0.039,0.039
"sigma_obs",1000,0,1000,1000
