"coeff_names","mean","sd","low","up"
"tau.(Intercept)",1.021,0.131,0.827,1.274
"nu.(Intercept)",3.948,0.197,3.621,4.303
"tau.s(ID)",0.26,0.135,0.002,0.449
"nu.s(ID)",0.105,0.047,0.012,0.18
"sigma_obs",1000,0,1000,1000
