"coeff_names","mean","sd","low","up"
"tau.(Intercept)",1.361,0.242,0.884,1.826
"nu.(Intercept)",4.021,0.313,3.491,4.624
"tau.s(ID)",0.19,0.154,0.002,0.488
"nu.s(ID)",0.076,0.06,0.003,0.188
"sigma_obs",1000,0,1000,1000
