"coeff_names","mean","sd","low","up"
"tau.(Intercept)",1.058,0.184,0.769,1.528
"nu.(Intercept)",3.964,0.308,3.447,4.567
"tau.s(ID)",0.208,0.165,0.003,0.501
"nu.s(ID)",0.104,0.065,0.005,0.222
"sigma_obs",1000,0,1000,1000
