"coeff_names","mean","sd","low","up"
"tau.(Intercept)",1.466,0.1,1.325,1.648
"nu.(Intercept)",4.02,0.124,3.83,4.244
"tau.s(ID)",0.2,0.084,0,0.296
"nu.s(ID)",0.089,0.034,0.017,0.146
"log_sigma_obs",1000,0,1000,1000
