"coeff_names","mean","sd","low","up"
"tau.(Intercept)",0.991,0.026,0.933,1
"nu.(Intercept)",1.067,0.189,1,1.483
"tau.s(ID)",0.5,0.001,0.5,0.502
"nu.s(ID)",0.506,0.016,0.5,0.542
"log_sigma_obs",1000,0,1000,1000
