"coeff_names","mean","sd","low","up"
"tau.(Intercept)",0.767,0.075,0.626,0.903
"nu.(Intercept)",4.022,0.14,3.76,4.243
"tau.s(ID)",0.328,0.099,0.161,0.54
"nu.s(ID)",0.116,0.04,0.042,0.199
"log_sigma_obs",1000,0,1000,1000
