"coeff_names","mean","sd","low","up"
"tau.(Intercept)",0.935,0.167,0.465,1.004
"nu.(Intercept)",1.43,1.517,1,5.053
"tau.s(ID)",0.513,0.05,0.497,0.635
"nu.s(ID)",0.549,0.126,0.5,0.904
"log_sigma_obs",1000,0,1000,1000
