"coeff_names","mean","sd","low","up"
"tau.(Intercept)",0.64,0.102,0.474,0.866
"nu.(Intercept)",4.13,0.208,3.748,4.565
"tau.s(ID)",0.288,0.14,0.005,0.569
"nu.s(ID)",0.112,0.056,0.006,0.213
"log_sigma_obs",1000,0,1000,1000
