"coeff_names","mean","sd","low","up"
"tau.(Intercept)",0.997,0.092,0.833,1.155
"nu.(Intercept)",3.989,0.137,3.714,4.216
"tau.s(ID)",0.289,0.093,0.015,0.469
"nu.s(ID)",0.101,0.042,0.027,0.185
"log_sigma_obs",1000,0,1000,1000
