"coeff_names","mean","sd","low","up"
"tau.(Intercept)",0.592,0.073,0.469,0.76
"nu.(Intercept)",4.021,0.156,3.683,4.234
"tau.s(ID)",0.354,0.094,0.199,0.537
"nu.s(ID)",0.115,0.035,0.048,0.178
"log_sigma_obs",1000,0,1000,1000
