"coeff_names","mean","sd","low","up"
"tau.(Intercept)",0.903,0.084,0.753,1.08
"nu.(Intercept)",4.021,0.14,3.748,4.238
"tau.s(ID)",0.27,0.099,0.01,0.427
"nu.s(ID)",0.114,0.039,0.043,0.197
"log_sigma_obs",1000,0,1000,1000
