"coeff_names","mean","sd","low","up"
"tau.(Intercept)",0.906,0.169,0.471,1.02
"nu.(Intercept)",1.49,0.929,0.981,3.622
"tau.s(ID)",0.502,0.1,0.312,0.65
"nu.s(ID)",0.579,0.227,0.492,1.405
"log_sigma_obs",1000,0,1000,1000
