"coeff_names","mean","sd","low","up"
"tau.(Intercept)",1.393,0.145,1.166,1.723
"nu.(Intercept)",4.063,0.2,3.727,4.489
"tau.s(ID)",0.163,0.086,0.005,0.274
"nu.s(ID)",0.075,0.041,0.005,0.13
"log_sigma_obs",1000,0,1000,1000
