"coeff_names","mean","sd","low","up"
"tau.(Intercept)",1.408,0.107,1.261,1.602
"nu.(Intercept)",3.963,0.129,3.773,4.175
"tau.s(ID)",0.184,0.114,0,0.309
"nu.s(ID)",0.09,0.043,0.011,0.142
"log_sigma_obs",1000,0,1000,1000
