"coeff_names","mean","sd","low","up"
"tau.(Intercept)",0.753,0.113,0.567,1.003
"nu.(Intercept)",4.103,0.205,3.738,4.514
"tau.s(ID)",0.288,0.156,0.002,0.544
"nu.s(ID)",0.101,0.056,0.006,0.198
"log_sigma_obs",1000,0,1000,1000
