"coeff_names","mean","sd","low","up"
"tau.(Intercept)",0.928,0.162,0.447,1.012
"nu.(Intercept)",1.488,1.341,0.984,6.476
"tau.s(ID)",0.497,0.055,0.333,0.603
"nu.s(ID)",0.596,0.356,0.494,1.14
"log_sigma_obs",1000,0,1000,1000
