"coeff_names","mean","sd","low","up"
"tau.(Intercept)",1.456,0.108,1.307,1.667
"nu.(Intercept)",4.006,0.134,3.792,4.277
"tau.s(ID)",0.201,0.082,0,0.3
"nu.s(ID)",0.086,0.035,0.018,0.144
"log_sigma_obs",1000,0,1000,1000
