"coeff_names","mean","sd","low","up"
"tau.(Intercept)",0.651,0.067,0.533,0.771
"nu.(Intercept)",4.052,0.151,3.77,4.307
"tau.s(ID)",0.303,0.105,0.112,0.521
"nu.s(ID)",0.127,0.04,0.04,0.206
"log_sigma_obs",1000,0,1000,1000
