"coeff_names","mean","sd","low","up"
"tau.(Intercept)",0.978,0.075,0.8,1
"nu.(Intercept)",1.173,0.591,1,2.562
"tau.s(ID)",0.493,0.025,0.435,0.5
"nu.s(ID)",0.66,0.552,0.5,1.952
"log_sigma_obs",1000,0,1000,1000
