"coeff_names","mean","sd","low","up"
"tau.(Intercept)",1.044,0.085,0.917,1.227
"nu.(Intercept)",3.972,0.137,3.736,4.205
"tau.s(ID)",0.226,0.096,0.001,0.401
"nu.s(ID)",0.097,0.04,0.017,0.166
"log_sigma_obs",1000,0,1000,1000
