"coeff_names","mean","sd","low","up"
"tau.(Intercept)",0.895,0.116,0.69,1.121
"nu.(Intercept)",4.095,0.206,3.742,4.467
"tau.s(ID)",0.226,0.13,0.001,0.464
"nu.s(ID)",0.104,0.055,0.003,0.213
"log_sigma_obs",1000,0,1000,1000
