"coeff_names","mean","sd","low","up"
"tau.(Intercept)",1.197,0.085,1.064,1.313
"nu.(Intercept)",4.012,0.112,3.839,4.193
"tau.s(ID)",0.221,0.106,0.001,0.385
"nu.s(ID)",0.101,0.046,0.009,0.181
"log_sigma_obs",1000,0,1000,1000
