"coeff_names","mean","sd","low","up"
"tau.(Intercept)",1.154,0.125,0.936,1.394
"nu.(Intercept)",4.038,0.203,3.666,4.442
"tau.s(ID)",0.159,0.11,0.004,0.338
"nu.s(ID)",0.093,0.05,0.005,0.175
"log_sigma_obs",1000,0,1000,1000
