"coeff_name","true","mean","sd","biais","re_biais","rmse"
"tau.s(ID).1",-0.086,-0.082,0.102,0.004,-5.052,0.102
"tau.s(ID).2",0.131,0.024,0.079,-0.107,-81.461,0.133
"tau.s(ID).3",0.064,-0.044,0.095,-0.108,-168.121,0.144
"tau.s(ID).4",-0.157,-0.193,0.212,-0.036,22.893,0.215
"tau.s(ID).5",0.315,0.317,0.329,0.002,0.698,0.329
"tau.s(ID).6",0.129,-0.027,0.074,-0.156,-121.014,0.172
"nu.s(ID).1",0.009,0.055,0.06,0.046,516.342,0.075
"nu.s(ID).2",0.028,0.01,0.041,-0.018,-64.566,0.044
"nu.s(ID).3",0.068,0.052,0.058,-0.016,-23.536,0.06
"nu.s(ID).4",0.009,0.093,0.094,0.084,938.188,0.126
"nu.s(ID).5",-0.299,-0.233,0.172,0.067,-22.259,0.184
"nu.s(ID).6",0.028,0.01,0.037,-0.019,-65.449,0.042
"omega.te(theta,DistanceShore).1",8.871,7.684,1.367,-1.187,-13.38,1.81
"omega.te(theta,DistanceShore).2",-2.536,-2.233,1.588,0.304,-11.969,1.617
"omega.te(theta,DistanceShore).3",6.716,6.878,1.74,0.163,2.422,1.748
"omega.te(theta,DistanceShore).4",22.498,20.38,2.561,-2.118,-9.416,3.324
"omega.te(theta,DistanceShore).5",6.734,4.565,3.666,-2.169,-32.209,4.259
"omega.te(theta,DistanceShore).6",30.879,28.116,1.51,-2.762,-8.946,3.148
"omega.te(theta,DistanceShore).7",4.778,4.244,1.271,-0.534,-11.184,1.379
"omega.te(theta,DistanceShore).8",6.618,5.043,1.59,-1.575,-23.792,2.238
"tau.(Intercept)",0.405,0.35,0.161,-0.055,-13.575,0.17
"nu.(Intercept)",1.386,1.341,0.086,-0.046,-3.294,0.097
"omega.(Intercept)",0.022,-0.037,0.23,-0.059,-267.76,0.237
"tau.s(ID)",0.2,0.198,0.161,-0.002,-0.897,0.161
"nu.s(ID)",0.1,0.128,0.076,0.028,28.21,0.081
