"coeff_name","true","mean","sd","biais","re_biais","rmse"
"tau.s(ID).1",-0.162,-0.156,0.153,0.007,-4.081,0.153
"tau.s(ID).2",0.289,0.113,0.115,-0.175,-60.72,0.21
"tau.s(ID).3",-0.086,0.003,0.044,0.09,-103.885,0.1
"tau.s(ID).4",0.131,0.066,0.074,-0.065,-49.908,0.099
"tau.s(ID).5",0.064,0.019,0.044,-0.045,-69.841,0.063
"tau.s(ID).6",-0.157,-0.038,0.052,0.119,-76.024,0.13
"nu.s(ID).1",0.158,0.093,0.08,-0.065,-41.009,0.103
"nu.s(ID).2",0.064,-0.063,0.06,-0.127,-197.883,0.14
"nu.s(ID).3",0.009,0,0.021,-0.009,-96.86,0.023
"nu.s(ID).4",0.028,-0.041,0.045,-0.069,-249.674,0.082
"nu.s(ID).5",0.068,-0.006,0.017,-0.074,-108.987,0.076
"nu.s(ID).6",0.009,0.012,0.024,0.003,32.601,0.024
"omega.te(theta,DistanceShore).1",6.474,5.923,1.096,-0.552,-8.522,1.227
"omega.te(theta,DistanceShore).2",-2.068,-1.705,1.178,0.363,-17.575,1.233
"omega.te(theta,DistanceShore).3",4.62,3.724,0.787,-0.896,-19.396,1.192
"omega.te(theta,DistanceShore).4",15.437,14.688,1.735,-0.749,-4.854,1.89
"omega.te(theta,DistanceShore).5",4.626,3.672,2.642,-0.954,-20.625,2.809
"omega.te(theta,DistanceShore).6",21.097,19.596,1.356,-1.501,-7.113,2.022
"omega.te(theta,DistanceShore).7",2.909,3.154,1.156,0.246,8.447,1.182
"omega.te(theta,DistanceShore).8",4.857,3.918,1.15,-0.939,-19.326,1.484
"tau.(Intercept)",0.405,0.39,0.169,-0.015,-3.728,0.17
"nu.(Intercept)",1.386,1.439,0.087,0.053,3.823,0.102
"omega.(Intercept)",0.013,-0.001,0.195,-0.013,-106.134,0.196
"tau.s(ID)",0.2,0.11,0.082,-0.09,-44.918,0.121
"nu.s(ID)",0.1,0.06,0.044,-0.04,-40.178,0.06
