"coeff_name","true","mean","sd","biais","re_biais","rmse"
"tau.s(ID).1",-0.037,-0.11,0.176,-0.074,201.477,0.191
"tau.s(ID).2",0.187,0.062,0.166,-0.122,-65.489,0.207
"tau.s(ID).3",0.164,0.056,0.154,-0.106,-64.484,0.187
"tau.s(ID).4",0.278,0.309,0.215,0.034,12.213,0.218
"tau.s(ID).5",-0.095,-0.174,0.157,-0.08,84.14,0.177
"tau.s(ID).6",0.13,0.157,0.251,0.028,21.891,0.252
"tau.s(ID).7",0.278,0.137,0.2,-0.138,-49.533,0.244
"tau.s(ID).8",-0.222,-0.038,0.164,0.181,-81.6,0.245
"tau.s(ID).9",-0.172,-0.145,0.138,0.024,-14.217,0.14
"tau.s(ID).10",-0.226,-0.082,0.138,0.142,-62.578,0.198
"tau.s(ID).11",-0.292,-0.286,0.172,0.002,-0.69,0.172
"tau.s(ID).12",0.016,0.057,0.146,0.041,255.797,0.152
"nu.s(ID).1",0.065,0.035,0.054,-0.03,-45.807,0.061
"nu.s(ID).2",0.12,0.05,0.047,-0.069,-57.304,0.084
"nu.s(ID).3",0.104,0.032,0.052,-0.071,-67.707,0.088
"nu.s(ID).4",-0.1,-0.099,0.074,0,-0.318,0.074
"nu.s(ID).5",0.185,0.092,0.054,-0.09,-48.879,0.106
"nu.s(ID).6",-0.067,-0.073,0.054,-0.007,10.975,0.054
"nu.s(ID).7",0.011,-0.023,0.056,-0.034,-317.495,0.065
"nu.s(ID).8",-0.042,-0.037,0.04,0.004,-9.974,0.041
"nu.s(ID).9",-0.012,-0.003,0.044,0.009,-74.162,0.045
"nu.s(ID).10",0.019,0.003,0.038,-0.015,-81.506,0.041
"nu.s(ID).11",0.012,0.01,0.055,-0.002,-17.062,0.055
"nu.s(ID).12",-0.003,-0.022,0.05,-0.02,784.756,0.053
"omega.te(theta,DistanceShore).1",8.878,6.048,2.036,-2.71,-30.528,3.403
"omega.te(theta,DistanceShore).2",-2.541,-0.111,2.244,2.396,-94.295,3.295
"omega.te(theta,DistanceShore).3",6.718,6.192,0.781,-0.435,-6.472,0.892
"omega.te(theta,DistanceShore).4",22.51,17.385,6.122,-4.82,-21.414,7.809
"omega.te(theta,DistanceShore).5",6.74,4.028,4.106,-2.621,-38.885,4.881
"omega.te(theta,DistanceShore).6",30.872,24.979,1.399,-5.476,-17.737,5.678
"omega.te(theta,DistanceShore).7",4.78,5.012,1.741,0.296,6.194,1.765
"omega.te(theta,DistanceShore).8",6.617,3.403,1.011,-3.125,-47.221,3.304
"tau.(Intercept)",0.405,0.04,0.063,-0.36,-88.678,0.367
"nu.(Intercept)",1.386,1.386,0.031,0.019,1.357,0.031
"omega.(Intercept)",0.023,-0.024,0.109,-0.046,-203.973,0.119
"tau.s(ID)",0.2,0.245,0.075,0.048,23.751,0.089
"nu.s(ID)",0.1,0.08,0.028,-0.019,-18.502,0.034
