"coeff_name","true","mean","sd","biais","re_biais","rmse"
"tau.s(ID).1",-0.037,-0.054,0.075,-0.018,49.067,0.077
"tau.s(ID).2",0.187,0.04,0.05,-0.147,-78.502,0.155
"tau.s(ID).3",0.164,0.017,0.046,-0.148,-89.848,0.155
"tau.s(ID).4",0.278,0.156,0.172,-0.123,-44.115,0.211
"tau.s(ID).5",-0.095,-0.155,0.15,-0.06,63.243,0.162
"tau.s(ID).6",0.13,0.128,0.131,-0.002,-1.81,0.131
"tau.s(ID).7",0.278,0.139,0.118,-0.139,-49.948,0.182
"tau.s(ID).8",-0.222,-0.03,0.045,0.192,-86.577,0.197
"tau.s(ID).9",-0.172,-0.064,0.072,0.108,-62.785,0.13
"tau.s(ID).10",-0.226,-0.089,0.091,0.137,-60.665,0.165
"tau.s(ID).11",-0.292,-0.126,0.106,0.166,-56.91,0.197
"tau.s(ID).12",0.016,0.04,0.067,0.024,149.984,0.071
"nu.s(ID).1",0.065,0.042,0.041,-0.023,-35.54,0.047
"nu.s(ID).2",0.12,0.007,0.033,-0.113,-94.156,0.118
"nu.s(ID).3",0.104,-0.007,0.039,-0.112,-106.746,0.118
"nu.s(ID).4",-0.1,-0.13,0.104,-0.03,29.52,0.108
"nu.s(ID).5",0.185,0.122,0.092,-0.063,-33.994,0.111
"nu.s(ID).6",-0.067,-0.085,0.073,-0.018,27.463,0.075
"nu.s(ID).7",0.011,-0.086,0.062,-0.097,-914.655,0.115
"nu.s(ID).8",-0.042,0.011,0.032,0.053,-126.68,0.062
"nu.s(ID).9",-0.012,0.03,0.036,0.042,-341.212,0.055
"nu.s(ID).10",0.019,0.047,0.053,0.028,151.282,0.061
"nu.s(ID).11",0.012,0.064,0.055,0.052,437.899,0.075
"nu.s(ID).12",-0.003,-0.027,0.037,-0.025,979.006,0.044
"omega.te(theta,DistanceShore).1",8.878,7.535,0.939,-1.343,-15.127,1.639
"omega.te(theta,DistanceShore).2",-2.541,-2.038,1.25,0.502,-19.777,1.347
"omega.te(theta,DistanceShore).3",6.718,7.022,1.101,0.304,4.527,1.143
"omega.te(theta,DistanceShore).4",22.51,20.907,1.585,-1.603,-7.121,2.254
"omega.te(theta,DistanceShore).5",6.74,5.329,2.695,-1.412,-20.943,3.042
"omega.te(theta,DistanceShore).6",30.872,28.586,1.339,-2.285,-7.402,2.649
"omega.te(theta,DistanceShore).7",4.78,4.74,0.861,-0.04,-0.846,0.862
"omega.te(theta,DistanceShore).8",6.617,5.481,1.091,-1.136,-17.165,1.575
"tau.(Intercept)",0.405,0.353,0.096,-0.052,-12.871,0.11
"nu.(Intercept)",1.386,1.418,0.049,0.032,2.297,0.058
"omega.(Intercept)",0.023,-0.002,0.216,-0.025,-110.07,0.218
"tau.s(ID)",0.2,0.142,0.09,-0.058,-29.139,0.107
"nu.s(ID)",0.1,0.089,0.049,-0.011,-11.42,0.05
