"coeff_name","estimate","true"
"tau.s(ID).1",-0.142778269634499,-0.0431446202613345
"tau.s(ID).2",0.0840714031979684,0.0655647883402207
"tau.s(ID).3",-0.148481969645773,0.0321925265203947
"tau.s(ID).4",-0.109868914408207,-0.0783838940880375
"tau.s(ID).5",0.356609440887704,0.157572751979198
"tau.s(ID).6",-0.067242727124049,0.0642899305717316
"nu.s(ID).1",0.0135127374717498,0.00897606465996057
"nu.s(ID).2",0.0498519846602899,0.0276550747291463
"nu.s(ID).3",0.00872472618341114,0.0679288816055271
"nu.s(ID).4",0.0172816625350005,0.00898328865790817
"nu.s(ID).5",-0.14245983522845,-0.299309008315294
"nu.s(ID).6",0.036206864177028,0.0284882953530659
"omega.te(theta,ExpShore).1",-23.460710423313,-17.6432702855783
"omega.te(theta,ExpShore).2",-5.85469689059746,-64.0282051998026
"omega.te(theta,ExpShore).3",-3.41165461369421,-0.839264320617625
"omega.te(theta,ExpShore).4",-0.162391896205433,-0.351386655637817
"omega.te(theta,ExpShore).5",12.0064138028877,0.190667179471396
"omega.te(theta,ExpShore).6",-7.10783661169847,-1.55330616601871
"omega.te(theta,ExpShore).7",25.7002776342455,17.541073156585
"omega.te(theta,ExpShore).8",29.6858696251282,62.8093658211001
"mu1.(Intercept)",0,0
"mu2.(Intercept)",0,0
"tau.(Intercept)",-0.0651785011568692,0
"nu.(Intercept)",1.31923262750205,1.38629436111989
"omega.(Intercept)",0.123893853199227,0.00319798089305078
"tau.s(ID)",0.212845565168079,0.1
"nu.s(ID)",0.0851578835910733,0.1
"omega.te(theta,ExpShore)",4.88783037346046,NA
"omega.te(theta,ExpShore)",10.5353797940405,NA
