"coeff_name","estimate","true"
"tau.s(ID).1",-0.0992959829728321,-0.0431446202613345
"tau.s(ID).2",-0.0224557705088647,0.0655647883402207
"tau.s(ID).3",-0.0837487651666885,0.0321925265203947
"tau.s(ID).4",-0.0466008855971726,-0.0783838940880375
"tau.s(ID).5",0.228745047121447,0.157572751979198
"tau.s(ID).6",0.0133077585394676,0.0642899305717316
"nu.s(ID).1",0.0137336296591506,0.00897606465996057
"nu.s(ID).2",0.0021699065235515,0.0276550747291463
"nu.s(ID).3",0.0398276521136444,0.0679288816055271
"nu.s(ID).4",0.0600196366284687,0.00898328865790817
"nu.s(ID).5",-0.185439047190181,-0.299309008315294
"nu.s(ID).6",0.0561638542253684,0.0284882953530659
"omega.te(theta,DistanceShore).1",9.2781030836048,8.0260021942817
"omega.te(theta,DistanceShore).2",-4.70398880035862,-3.13946737028784
"omega.te(theta,DistanceShore).3",5.12633807360548,5.07775928247314
"omega.te(theta,DistanceShore).4",14.9886844924715,16.795206105931
"omega.te(theta,DistanceShore).5",-2.65585299468264,5.03398307494887
"omega.te(theta,DistanceShore).6",18.8088099418469,22.5183185722522
"omega.te(theta,DistanceShore).7",1.43568977961082,2.2040071653002
"omega.te(theta,DistanceShore).8",-2.818825296856,6.17041813390076
"mu1.(Intercept)",0,0
"mu2.(Intercept)",0,0
"tau.(Intercept)",0.0503100479154563,0
"nu.(Intercept)",1.36148099024777,1.38629436111989
"omega.(Intercept)",-0.295246145696575,0.00265779043803303
"tau.s(ID)",0.166467862185833,0.1
"nu.s(ID)",0.106915391721557,0.1
"omega.te(theta,DistanceShore)",3.52066479083217,NA
"omega.te(theta,DistanceShore)",7.62845527993865,NA
