"Dshore","theta","omega"
Inf,-3.13736988213505,5.4778148447484
2.45,-3.13736988213505,4.71703544090668
1.225,-3.13736988213505,3.964953556223
0.816666666666667,-3.13736988213505,3.23026670985539
0.6125,-3.13736988213505,2.52167242096191
0.49,-3.13736988213505,1.84786820870057
0.408333333333333,-3.13736988213505,1.21755159222943
0.35,-3.13736988213505,0.639420090706523
0.30625,-3.13736988213505,0.122171223289883
0.272222222222222,-3.13736988213505,-0.325497490862445
0.245,-3.13736988213505,-0.694888532592426
0.222727272727273,-3.13736988213505,-0.97730438274202
0.204166666666667,-3.13736988213505,-1.16404752215319
0.188461538461538,-3.13736988213505,-1.24849025752716
0.175,-3.13736988213505,-1.23929237476643
0.163333333333333,-3.13736988213505,-1.15196170954036
0.153125,-3.13736988213505,-1.00203831735456
0.144117647058824,-3.13736988213505,-0.80506225371462
0.136111111111111,-3.13736988213505,-0.576573574126146
0.128947368421053,-3.13736988213505,-0.332112334094734
0.1225,-3.13736988213505,-0.0872185891259853
0.116666666666667,-3.13736988213505,0.142568578603609
0.111363636363636,-3.13736988213505,0.345204029400986
0.106521739130435,-3.13736988213505,0.519987968854098
0.102083333333333,-3.13736988213505,0.668519397685936
0.098,-3.13736988213505,0.792397316619491
0.0942307692307692,-3.13736988213505,0.893220726377751
0.0907407407407407,-3.13736988213505,0.972588627683707
0.0875,-3.13736988213505,1.03210002126035
0.0844827586206897,-3.13736988213505,1.07335390783067
0.0816666666666667,-3.13736988213505,1.09794928811766
0.0790322580645161,-3.13736988213505,1.1074851628443
0.0765625,-3.13736988213505,1.10356053273359
0.0742424242424242,-3.13736988213505,1.08777439850851
0.0720588235294118,-3.13736988213505,1.06172576089207
0.07,-3.13736988213505,1.02701362060724
0.0680555555555555,-3.13736988213505,0.985236978377016
0.0662162162162162,-3.13736988213505,0.937994536471718
0.0644736842105263,-3.13736988213505,0.886596075388153
0.0628205128205128,-3.13736988213505,0.831523124274011
0.06125,-3.13736988213505,0.773109727677527
0.0597560975609756,-3.13736988213505,0.711689930146935
0.0583333333333333,-3.13736988213505,0.647597776230469
0.0569767441860465,-3.13736988213505,0.581167310476364
0.0556818181818182,-3.13736988213505,0.512732577432854
0.0544444444444444,-3.13736988213505,0.442627621648173
0.0532608695652174,-3.13736988213505,0.371186487670555
0.0521276595744681,-3.13736988213505,0.298743220048234
0.0510416666666667,-3.13736988213505,0.225631863329445
0.05,-3.13736988213505,0.152186462062422
Inf,-3.01017197006626,0.364660959777537
2.45,-3.01017197006626,0.332803515130174
1.225,-3.01017197006626,0.301564903289276
0.816666666666667,-3.01017197006626,0.271563957061312
0.6125,-3.01017197006626,0.243419509252751
0.49,-3.01017197006626,0.217750392670057
0.408333333333333,-3.01017197006626,0.1951754401197
0.35,-3.01017197006626,0.176313484408145
0.30625,-3.01017197006626,0.161783358341859
0.272222222222222,-3.01017197006626,0.152203894727312
0.245,-3.01017197006626,0.148193926370967
0.222727272727273,-3.01017197006626,0.150372286079296
0.204166666666667,-3.01017197006626,0.159357806658762
0.188461538461538,-3.01017197006626,0.175514879330971
0.175,-3.01017197006626,0.197328621068868
0.163333333333333,-3.01017197006626,0.222442325061965
0.153125,-3.01017197006626,0.248495323748116
0.144117647058824,-3.01017197006626,0.273126949565178
0.136111111111111,-3.01017197006626,0.293976534951007
0.128947368421053,-3.01017197006626,0.30868341234346
0.1225,-3.01017197006626,0.314886914180392
0.116666666666667,-3.01017197006626,0.310226612780363
0.111363636363636,-3.01017197006626,0.293203176028796
0.106521739130435,-3.01017197006626,0.265113375803198
0.102083333333333,-3.01017197006626,0.22782053088598
0.098,-3.01017197006626,0.183187960059555
0.0942307692307692,-3.01017197006626,0.133078982106337
0.0907407407407407,-3.01017197006626,0.0793569158087375
0.0875,-3.01017197006626,0.0238850799491703
0.0844827586206897,-3.01017197006626,-0.0314732066899522
0.0816666666666667,-3.01017197006626,-0.0848546253262184
0.0790322580645161,-3.01017197006626,-0.134395857177214
0.0765625,-3.01017197006626,-0.178233583460526
0.0742424242424242,-3.01017197006626,-0.214504485393743
0.0720588235294118,-3.01017197006626,-0.241345244194452
0.07,-3.01017197006626,-0.25689254108024
0.0680555555555555,-3.01017197006626,-0.259283057268693
0.0662162162162162,-3.01017197006626,-0.24665423840939
0.0644736842105263,-3.01017197006626,-0.21788355048302
0.0628205128205128,-3.01017197006626,-0.173969873963117
0.06125,-3.01017197006626,-0.116289844176363
0.0597560975609756,-3.01017197006626,-0.0462200964494459
0.0583333333333333,-3.01017197006626,0.0348627338909523
0.0569767441860465,-3.01017197006626,0.125582011518146
0.0556818181818182,-3.01017197006626,0.224561101105448
0.0544444444444444,-3.01017197006626,0.330423367326176
0.0532608695652174,-3.01017197006626,0.441792174853643
0.0521276595744681,-3.01017197006626,0.557290888361165
0.0510416666666667,-3.01017197006626,0.675542872522057
0.05,-3.01017197006626,0.795171492009635
Inf,-2.88297405799747,-4.43221521250914
2.45,-2.88297405799747,-3.81197821323057
1.225,-2.88297405799747,-3.19808021897784
0.816666666666667,-2.88297405799747,-2.59686023477679
0.6125,-2.88297405799747,-2.01465726565324
0.49,-2.88297405799747,-1.45781031663305
0.408333333333333,-2.88297405799747,-0.93265839274205
0.35,-2.88297405799747,-0.445540499006071
0.30625,-2.88297405799747,-0.00279564045095126
0.272222222222222,-2.88297405799747,0.389237177897467
0.245,-2.88297405799747,0.724218951013349
0.222727272727273,-2.88297405799747,0.995810673870856
0.204166666666667,-2.88297405799747,1.19767334144415
0.188461538461538,-2.88297405799747,1.32473691660721
0.175,-2.88297405799747,1.3813038030549
0.163333333333333,-2.88297405799747,1.37587480372983
0.153125,-2.88297405799747,1.31697047489719
0.144117647058824,-2.88297405799747,1.21311137282219
0.136111111111111,-2.88297405799747,1.07281805377003
0.128947368421053,-2.88297405799747,0.904611074005912
0.1225,-2.88297405799747,0.717010989795036
0.116666666666667,-2.88297405799747,0.518538027804611
0.111363636363636,-2.88297405799747,0.316529262554037
0.106521739130435,-2.88297405799747,0.114479899470545
0.102083333333333,-2.88297405799747,-0.0848932959655729
0.098,-2.88297405799747,-0.278873558274023
0.0942307692307692,-2.88297405799747,-0.46474412197451
0.0907407407407407,-2.88297405799747,-0.639788221586741
0.0875,-2.88297405799747,-0.801289091630423
0.0844827586206897,-2.88297405799747,-0.946529966625261
0.0816666666666667,-2.88297405799747,-1.07279408109096
0.0790322580645161,-2.88297405799747,-1.17736466954723
0.0765625,-2.88297405799747,-1.25752496651378
0.0742424242424242,-2.88297405799747,-1.3105582065103
0.0720588235294118,-2.88297405799747,-1.33374762405652
0.07,-2.88297405799747,-1.32437645367212
0.0680555555555555,-2.88297405799747,-1.27972792987683
0.0662162162162162,-2.88297405799747,-1.19708671526016
0.0644736842105263,-2.88297405799747,-1.07511993770675
0.0628205128205128,-2.88297405799747,-0.916457835018155
0.06125,-2.88297405799747,-0.724436345843015
0.0597560975609756,-2.88297405799747,-0.50239140882999
0.0583333333333333,-2.88297405799747,-0.25365896262773
0.0569767441860465,-2.88297405799747,0.0184250541151089
0.0556818181818182,-2.88297405799747,0.31052470274987
0.0544444444444444,-2.88297405799747,0.619304044627904
0.0532608695652174,-2.88297405799747,0.941427141100553
0.0521276595744681,-2.88297405799747,1.27355805351917
0.0510416666666667,-2.88297405799747,1.61236084323508
0.05,-2.88297405799747,1.95449957159966
Inf,-2.75577614592868,-8.59653595942742
2.45,-2.75577614592868,-7.47785954675978
1.225,-2.75577614592868,-6.37023827991174
0.816666666666667,-2.75577614592868,-5.28472730470292
0.6125,-2.75577614592868,-4.23238176695292
0.49,-2.75577614592868,-3.22425681248136
0.408333333333333,-2.75577614592868,-2.27140758710783
0.35,-2.75577614592868,-1.38488923665196
0.30625,-2.75577614592868,-0.575756906933336
0.272222222222222,-2.75577614592868,0.144934256228418
0.245,-2.75577614592868,0.766129107013701
0.222727272727273,-2.75577614592868,1.2767724996029
0.204166666666667,-2.75577614592868,1.66580928817642
0.188461538461538,-2.75577614592868,1.92439275471968
0.175,-2.75577614592868,2.05998735734242
0.163333333333333,-2.75577614592868,2.08736417052878
0.153125,-2.75577614592868,2.02132864613907
0.144117647058824,-2.75577614592868,1.87668623603364
0.136111111111111,-2.75577614592868,1.6682423920728
0.128947368421053,-2.75577614592868,1.41080256611688
0.1225,-2.75577614592868,1.11917221002621
0.116666666666667,-2.75577614592868,0.808156204523844
0.111363636363636,-2.75577614592868,0.490509228874139
0.106521739130435,-2.75577614592868,0.172328656574388
0.102083333333333,-2.75577614592868,-0.141637042920316
0.098,-2.75577614592868,-0.446639400154883
0.0942307692307692,-2.75577614592868,-0.73792994567422
0.0907407407407407,-2.75577614592868,-1.01076021002324
0.0875,-2.75577614592868,-1.26038172374684
0.0844827586206897,-2.75577614592868,-1.48204601738994
0.0816666666666667,-2.75577614592868,-1.67100462149744
0.0790322580645161,-2.75577614592868,-1.82250906661426
0.0765625,-2.75577614592868,-1.9318108832853
0.0742424242424242,-2.75577614592868,-1.99416160205546
0.0720588235294118,-2.75577614592868,-2.00481275346967
0.07,-2.75577614592868,-1.95901586807282
0.0680555555555555,-2.75577614592868,-1.85202247640983
0.0662162162162162,-2.75577614592868,-1.67908659605025
0.0644736842105263,-2.75577614592868,-1.43786984763561
0.0628205128205128,-2.75577614592868,-1.13293572170902
0.06125,-2.75577614592868,-0.770076707135192
0.0597560975609756,-2.75577614592868,-0.355085292778863
0.0583333333333333,-2.75577614592868,0.106246032495256
0.0569767441860465,-2.75577614592868,0.608124779822435
0.0556818181818182,-2.75577614592868,1.14475846033795
0.0544444444444444,-2.75577614592868,1.71035458517708
0.0532608695652174,-2.75577614592868,2.29912066547511
0.0521276595744681,-2.75577614592868,2.9052642123673
0.0510416666666667,-2.75577614592868,3.52299273698894
0.05,-2.75577614592868,4.14651375047531
Inf,-2.62857823385989,-11.8530859490556
2.45,-2.62857823385989,-10.4499020457962
1.225,-2.62857823385989,-9.05939731034969
0.816666666666667,-2.62857823385989,-7.69425091052891
0.6125,-2.62857823385989,-6.36714201414675
0.49,-2.62857823385989,-5.09074978901605
0.408333333333333,-2.62857823385989,-3.87775340294968
0.35,-2.62857823385989,-2.74083202376052
0.30625,-2.62857823385989,-1.69266481926142
0.272222222222222,-2.62857823385989,-0.745930957265275
0.245,-2.62857823385989,0.0866903944150727
0.222727272727273,-2.62857823385989,0.792520067966746
0.204166666666667,-2.62857823385989,1.35887889557688
0.188461538461538,-2.62857823385989,1.77543205563071
0.175,-2.62857823385989,2.04915977917049
0.163333333333333,-2.62857823385989,2.19479860164619
0.153125,-2.62857823385989,2.22712155165053
0.144117647058824,-2.62857823385989,2.16090165777621
0.136111111111111,-2.62857823385989,2.01091194861595
0.128947368421053,-2.62857823385989,1.79192545276248
0.1225,-2.62857823385989,1.51871519880851
0.116666666666667,-2.62857823385989,1.2060538527222
0.111363636363636,-2.62857823385989,0.867412373407897
0.106521739130435,-2.62857823385989,0.512034885423514
0.102083333333333,-2.62857823385989,0.148309071676958
0.098,-2.62857823385989,-0.215377384923859
0.0942307692307692,-2.62857823385989,-0.570636801471023
0.0907407407407407,-2.62857823385989,-0.909081495056625
0.0875,-2.62857823385989,-1.22232378277275
0.0844827586206897,-2.62857823385989,-1.5019759817115
0.0816666666666667,-2.62857823385989,-1.73965040896495
0.0790322580645161,-2.62857823385989,-1.92695938162519
0.0765625,-2.62857823385989,-2.05551521678431
0.0742424242424242,-2.62857823385989,-2.1169302315344
0.0720588235294118,-2.62857823385989,-2.10281674296756
0.07,-2.62857823385989,-2.00478706817586
0.0680555555555555,-2.62857823385989,-1.8144535242514
0.0662162162162162,-2.62857823385989,-1.52343251371344
0.0644736842105263,-2.62857823385989,-1.12729540069293
0.0628205128205128,-2.62857823385989,-0.632951228204594
0.06125,-2.62857823385989,-0.0493279107455038
0.0597560975609756,-2.62857823385989,0.614646637187259
0.0583333333333333,-2.62857823385989,1.35004450109663
0.0569767441860465,-2.62857823385989,2.14793776648553
0.0556818181818182,-2.62857823385989,2.99939851885687
0.0544444444444444,-2.62857823385989,3.8954988437136
0.0532608695652174,-2.62857823385989,4.82731082655862
0.0521276595744681,-2.62857823385989,5.78590655289487
0.0510416666666667,-2.62857823385989,6.76235810822527
0.05,-2.62857823385989,7.74773757805275
Inf,-2.50138032179111,-14.1836586099444
2.45,-2.50138032179111,-12.6665859561157
1.225,-2.50138032179111,-11.1615665481214
0.816666666666667,-2.50138032179111,-9.68065363179603
0.6125,-2.50138032179111,-8.23590045297406
0.49,-2.50138032179111,-6.83936025748993
0.408333333333333,-2.50138032179111,-5.50308629117811
0.35,-2.50138032179111,-4.23913179987306
0.30625,-2.50138032179111,-3.05955002940923
0.272222222222222,-2.50138032179111,-1.97639422562111
0.245,-2.50138032179111,-1.00171763434314
0.222727272727273,-2.50138032179111,-0.147573501409788
0.204166666666667,-2.50138032179111,0.573984927344486
0.188461538461538,-2.50138032179111,1.15281458033355
0.175,-2.50138032179111,1.59288069801186
0.163333333333333,-2.50138032179111,1.90446836086166
0.153125,-2.50138032179111,2.09789238399297
0.144117647058824,-2.50138032179111,2.18346758251581
0.136111111111111,-2.50138032179111,2.1715087715402
0.128947368421053,-2.50138032179111,2.07233076617615
0.1225,-2.50138032179111,1.89624838153367
0.116666666666667,-2.50138032179111,1.6535765887922
0.111363636363636,-2.50138032179111,1.35519059880181
0.106521739130435,-2.50138032179111,1.0137848030469
0.102083333333333,-2.50138032179111,0.64242219559631
0.098,-2.50138032179111,0.254165770518883
0.0942307692307692,-2.50138032179111,-0.137921478116532
0.0907407407407407,-2.50138032179111,-0.52077655624109
0.0875,-2.50138032179111,-0.881336469785948
0.0844827586206897,-2.50138032179111,-1.20653822468226
0.0816666666666667,-2.50138032179111,-1.48331882686118
0.0790322580645161,-2.50138032179111,-1.69861528225387
0.0765625,-2.50138032179111,-1.83936459679148
0.0742424242424242,-2.50138032179111,-1.89250377640516
0.0720588235294118,-2.50138032179111,-1.84496982702607
0.07,-2.50138032179111,-1.68369975458537
0.0680555555555555,-2.50138032179111,-1.39563056501421
0.0662162162162162,-2.50138032179111,-0.967705296621984
0.0644736842105263,-2.50138032179111,-0.392706725723123
0.0628205128205128,-2.50138032179111,0.319841608557251
0.06125,-2.50138032179111,1.15743518227537
0.0597560975609756,-2.50138032179111,2.10756947148746
0.0583333333333333,-2.50138032179111,3.15773995224975
0.0569767441860465,-2.50138032179111,4.29544210061845
0.0556818181818182,-2.50138032179111,5.5081713926498
0.0544444444444444,-2.50138032179111,6.78342330440002
0.0532608695652174,-2.50138032179111,8.10869331192533
0.0521276595744681,-2.50138032179111,9.47147689128198
0.0510416666666667,-2.50138032179111,10.8592695185262
0.05,-2.50138032179111,12.2595666697141
Inf,-2.37418240972232,-15.6699729593988
2.45,-2.37418240972232,-14.1267520963324
1.225,-2.37418240972232,-12.5941954061383
0.816666666666667,-2.37418240972232,-11.0829670616891
0.6125,-2.37418240972232,-9.60373123585714
0.49,-2.37418240972232,-8.16715210151482
0.408333333333333,-2.37418240972232,-6.78389383153457
0.35,-2.37418240972232,-5.46462059878881
0.30625,-2.37418240972232,-4.21999657614994
0.272222222222222,-2.37418240972232,-3.06068593649039
0.245,-2.37418240972232,-1.99735285268256
0.222727272727273,-2.37418240972232,-1.04066149759888
0.204166666666667,-2.37418240972232,-0.201276044111745
0.188461538461538,-2.37418240972232,0.511451140058597
0.175,-2.37418240972232,1.09785651868965
0.163333333333333,-2.37418240972232,1.56261668249587
0.153125,-2.37418240972232,1.91042864233813
0.144117647058824,-2.37418240972232,2.14598940907734
0.136111111111111,-2.37418240972232,2.27399599357439
0.128947368421053,-2.37418240972232,2.29914540669016
0.1225,-2.37418240972232,2.22613465928556
0.116666666666667,-2.37418240972232,2.059661507625
0.111363636363636,-2.37418240972232,1.80709947000758
0.106521739130435,-2.37418240972232,1.48451065772357
0.102083333333333,-2.37418240972232,1.10971766575092
0.098,-2.37418240972232,0.700543089067584
0.0942307692307692,-2.37418240972232,0.274809522651524
0.0907407407407407,-2.37418240972232,-0.149660438519303
0.0875,-2.37418240972232,-0.555044199466945
0.0844827586206897,-2.37418240972232,-0.923519165213441
0.0816666666666667,-2.37418240972232,-1.23726274078084
0.0790322580645161,-2.37418240972232,-1.47845233119118
0.0765625,-2.37418240972232,-1.62926534146651
0.0742424242424242,-2.37418240972232,-1.67187917662886
0.0720588235294118,-2.37418240972232,-1.5884712417003
0.07,-2.37418240972232,-1.36121894170284
0.0680555555555555,-2.37418240972232,-0.972299681658554
0.0662162162162162,-2.37418240972232,-0.403898876163366
0.0644736842105263,-2.37418240972232,0.354044267026187
0.0628205128205128,-2.37418240972232,1.28936276005927
0.06125,-2.37418240972232,2.38593157113194
0.0597560975609756,-2.37418240972232,3.62762566844023
0.0583333333333333,-2.37418240972232,4.99832002018019
0.0569767441860465,-2.37418240972232,6.48188959454786
0.0556818181818182,-2.37418240972232,8.06220935973926
0.0544444444444444,-2.37418240972232,9.72315428395046
0.0532608695652174,-2.37418240972232,11.4485993353775
0.0521276595744681,-2.37418240972232,13.2224194822164
0.0510416666666667,-2.37418240972232,15.0284896926632
0.05,-2.37418240972232,16.850684934914
Inf,-2.24698449765353,-16.4373161123104
2.45,-2.24698449765353,-14.8995149996893
1.225,-2.24698449765353,-13.3711611477552
0.816666666666667,-2.24698449765353,-11.861701817195
0.6125,-2.24698449765353,-10.3805842686959
0.49,-2.24698449765353,-8.93725576294465
0.408333333333333,-2.24698449765353,-7.54116356062838
0.35,-2.24698449765353,-6.20175492243404
0.30625,-2.24698449765353,-4.92847710904863
0.272222222222222,-2.24698449765353,-3.73077738115913
0.245,-2.24698449765353,-2.61810299945252
0.222727272727273,-2.24698449765353,-1.59990122461581
0.204166666666667,-2.24698449765353,-0.685619317335967
0.188461538461538,-2.24698449765353,0.116096913724793
0.175,-2.24698449765353,0.802521085978153
0.163333333333333,-2.24698449765353,1.37357843282895
0.153125,-2.24698449765353,1.82920666344316
0.144117647058824,-2.24698449765353,2.16934348698674
0.136111111111111,-2.24698449765353,2.39392661262566
0.128947368421053,-2.24698449765353,2.50289374952589
0.1225,-2.24698449765353,2.49618260685339
0.116666666666667,-2.24698449765353,2.37373215148978
0.111363636363636,-2.24698449765353,2.13999615023377
0.106521739130435,-2.24698449765353,1.81408858944312
0.102083333333333,-2.24698449765353,1.41809391080917
0.098,-2.24698449765353,0.97409655602323
0.0942307692307692,-2.24698449765353,0.504180966776642
0.0907407407407407,-2.24698449765353,0.0304315847607291
0.0875,-2.24698449765353,-0.425067148333183
0.0844827586206897,-2.24698449765353,-0.840230790813769
0.0816666666666667,-2.24698449765353,-1.1929749009897
