"coeff_names","mean","sd","low","up"
"tau.(Intercept)",0.974,0.136,0.758,1.293
"nu.(Intercept)",3.968,0.267,3.438,4.466
"tau.s(ID)",0.241,0.181,0.009,0.543
"nu.s(ID)",0.107,0.073,0.005,0.235
"sigma_obs",1000,0,1000,1000
