"coeff_names","mean","sd","low","up"
"tau.(Intercept)",1.281,0.16,0.994,1.644
"nu.(Intercept)",3.962,0.209,3.556,4.356
"tau.s(ID)",0.171,0.161,0.002,0.437
"nu.s(ID)",0.109,0.048,0.006,0.203
"sigma_obs",1000,0,1000,1000
