"coeff_names","mean","sd","low","up"
"tau.(Intercept)",1.119,0.185,0.779,1.591
"nu.(Intercept)",3.956,0.278,3.42,4.39
"tau.s(ID)",0.209,0.186,0.005,0.543
"nu.s(ID)",0.086,0.06,0.004,0.204
"sigma_obs",1000,0,1000,1000
