"coeff_names","mean","sd","low","up"
"tau.(Intercept)",1.29,0.209,0.87,1.686
"nu.(Intercept)",3.968,0.286,3.429,4.497
"tau.s(ID)",0.226,0.169,0.005,0.499
"nu.s(ID)",0.078,0.063,0.003,0.206
"sigma_obs",1000,0,1000,1000
