"coeff_names","mean","sd","low","up"
"tau.(Intercept)",0.973,0.141,0.797,1.187
"nu.(Intercept)",3.917,0.452,3.527,4.329
"tau.s(ID)",0.139,0.159,0.001,0.443
"nu.s(ID)",0.135,0.053,0.01,0.221
"sigma_obs",1000,0,1000,1000
