"coeff_names","mean","sd","low","up"
"tau.(Intercept)",0.998,0.152,0.7,1.316
"nu.(Intercept)",3.959,0.268,3.426,4.465
"tau.s(ID)",0.229,0.169,0.008,0.492
"nu.s(ID)",0.106,0.075,0.004,0.243
"sigma_obs",1000,0,1000,1000
