"coeff_names","mean","sd","low","up"
"tau.(Intercept)",0.965,0.103,0.79,1.197
"nu.(Intercept)",3.947,0.195,3.59,4.308
"tau.s(ID)",0.163,0.16,0.001,0.433
"nu.s(ID)",0.132,0.056,0.011,0.235
"sigma_obs",1000,0,1000,1000
