"coeff_names","mean","sd","low","up"
"tau.(Intercept)",0.997,0.112,0.798,1.211
"nu.(Intercept)",3.947,0.2,3.568,4.325
"tau.s(ID)",0.18,0.164,0.001,0.428
"nu.s(ID)",0.128,0.055,0.004,0.223
"sigma_obs",1000,0,1000,1000
