"coeff_names","mean","sd","low","up"
"tau.(Intercept)",1.088,0.127,0.885,1.379
"nu.(Intercept)",3.947,0.199,3.58,4.314
"tau.s(ID)",0.147,0.155,0.001,0.433
"nu.s(ID)",0.118,0.048,0.01,0.202
"sigma_obs",1000,0,1000,1000
