"coeff_names","mean","sd","low","up"
"tau.(Intercept)",1.362,0.217,1.032,1.755
"nu.(Intercept)",3.997,0.289,3.458,4.487
"tau.s(ID)",0.151,0.147,0.007,0.43
"nu.s(ID)",0.073,0.048,0.005,0.151
"sigma_obs",1000,0,1000,1000
