"coeff_name","estimate","true"
"tau.s(ID).1",0.100692997754447,0.151152199743894
"tau.s(ID).2",-0.24110963057439,-0.00946590384130976
"tau.s(ID).3",0.0193358436324706,0.201842371387704
"tau.s(ID).4",-0.292163323451227,-0.0062714099052421
"tau.s(ID).5",-0.0738020762550306,0.130486965422349
"tau.s(ID).6",0.509435872911832,0.228664539270111
"nu.s(ID).1",-1.59961640887525e-05,-0.138886070111234
"nu.s(ID).2",6.4333414928825e-05,-0.0278788766817371
"nu.s(ID).3",-0.000178666027677681,-0.0133321336393658
"nu.s(ID).4",0.000190908255259931,0.0635950398070074
"nu.s(ID).5",0.000217991445653596,-0.0284252921416072
"nu.s(ID).6",-0.000291644943146898,-0.265645542090478
"omega.te(theta,DistanceShore).1",5.88475666588537,7.41949737038641
"omega.te(theta,DistanceShore).2",-4.97143941813224,-2.78407592129446
"omega.te(theta,DistanceShore).3",6.0695102298877,4.05176660684324
"omega.te(theta,DistanceShore).4",15.287416470154,14.342095285798
"omega.te(theta,DistanceShore).5",-0.352721975314204,4.30582187990581
"omega.te(theta,DistanceShore).6",30.0659900533974,34.3832246334754
"omega.te(theta,DistanceShore).7",0.683932799924341,-0.856251990403953
"omega.te(theta,DistanceShore).8",4.53427757511155,8.81815901664472
"mu1.(Intercept)",0,0
"mu2.(Intercept)",0,0
"tau.(Intercept)",0.219839231086838,0
"nu.(Intercept)",1.38428864371161,1.38629436111989
"omega.(Intercept)",0.168628758389151,0.20183270386863
"tau.s(ID)",0.275381283122799,0.1
"nu.s(ID)",0.00467734446372435,0.1
"omega.te(theta,DistanceShore)",3.99754466831429,NA
"omega.te(theta,DistanceShore)",10.0790613233677,NA
