"coeff_name","true","biais","re_biais","rmse"
"tau.s(ID).1",-0.043,0.003,-7.494,0.065
"tau.s(ID).2",0.066,-0.085,-129.449,0.097
"tau.s(ID).3",0.032,-0.078,-241.596,0.107
"tau.s(ID).4",-0.078,0.016,-20.065,0.084
"tau.s(ID).5",0.158,0.026,16.214,0.242
"tau.s(ID).6",0.064,-0.081,-125.216,0.088
"nu.s(ID).1",0.009,0.036,398.98,0.051
"nu.s(ID).2",0.028,0.002,8.117,0.033
"nu.s(ID).3",0.068,-0.002,-2.49,0.043
"nu.s(ID).4",0.009,0.048,528.951,0.067
"nu.s(ID).5",-0.299,0.065,-21.803,0.138
"nu.s(ID).6",0.028,-0.001,-2.964,0.03
"omega.te(theta,DistanceShore).1",8.026,-1.288,-16.047,1.642
"omega.te(theta,DistanceShore).2",-3.139,1.551,-49.395,4.134
"omega.te(theta,DistanceShore).3",5.078,0.205,4.046,1.225
"omega.te(theta,DistanceShore).4",16.795,-1.86,-11.077,2.324
"omega.te(theta,DistanceShore).5",5.034,-6.03,-119.78,6.39
"omega.te(theta,DistanceShore).6",22.518,-2.829,-12.564,3.274
"omega.te(theta,DistanceShore).7",2.204,-0.137,-6.214,0.927
"omega.te(theta,DistanceShore).8",6.17,-4.571,-74.087,6.139
"mu1.(Intercept)",0,0,NA,0
"mu2.(Intercept)",0,0,NA,0
"tau.(Intercept)",0,0.029,NA,0.114
"nu.(Intercept)",1.386,-0.021,-1.551,0.057
"omega.(Intercept)",0.003,-0.019,-725.249,0.221
"tau.s(ID)",0.1,0.022,21.907,0.109
"nu.s(ID)",0.1,0.019,18.533,0.054
"omega.te(theta,DistanceShore)",NA,NA,NA,NA
